Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	Polyurethane (PUR)_thickness(m)	R(m²K/W)
0.183	0.078	0.056	9.621
0.183	0.078	0.061	9.843
0.183	0.078	0.067	10.065
0.183	0.078	0.072	10.287
0.183	0.078	0.078	10.510
0.183	0.078	0.083	10.732
0.183	0.078	0.089	10.954
0.183	0.078	0.094	11.176
0.183	0.078	0.100	11.399
0.183	0.083	0.050	9.553
0.183	0.083	0.056	9.775
0.183	0.083	0.061	9.997
0.183	0.083	0.067	10.220
0.183	0.083	0.072	10.442
0.183	0.083	0.078	10.664
0.183	0.083	0.083	10.886
0.183	0.083	0.089	11.108
0.183	0.083	0.094	11.331
0.183	0.083	0.100	11.553
0.183	0.089	0.050	9.707
0.183	0.089	0.056	9.929
0.183	0.089	0.061	10.152
0.183	0.089	0.067	10.374
0.183	0.089	0.072	10.596
0.183	0.089	0.078	10.818
0.183	0.089	0.083	11.041
0.183	0.089	0.089	11.263
0.183	0.089	0.094	11.485
0.183	0.089	0.100	11.707
0.183	0.094	0.050	9.862
0.183	0.094	0.056	10.084
0.183	0.094	0.061	10.306
0.183	0.094	0.067	10.528
0.183	0.094	0.072	10.750
0.183	0.094	0.078	10.973
0.183	0.094	0.083	11.195
0.183	0.094	0.089	11.417
0.183	0.094	0.094	11.639
0.183	0.094	0.100	11.862
0.183	0.100	0.050	10.016
0.183	0.100	0.056	10.238
0.183	0.100	0.061	10.460
0.183	0.100	0.067	10.683
0.183	0.100	0.072	10.905
0.183	0.100	0.078	11.127
0.183	0.100	0.083	11.349
0.183	0.100	0.089	11.571
0.183	0.100	0.094	11.794
0.183	0.100	0.100	12.016
0.200	0.050	0.050	9.103
0.200	0.050	0.056	9.325
0.200	0.050	0.061	9.548
0.200	0.050	0.067	9.770
0.200	0.050	0.072	9.992
0.200	0.050	0.078	10.214
0.200	0.050	0.083	10.437
0.200	0.050	0.089	10.659
0.200	0.050	0.094	10.881
0.200	0.050	0.100	11.103
0.200	0.056	0.050	9.257
0.200	0.056	0.056	9.480
0.200	0.056	0.061	9.702
0.200	0.056	0.067	9.924
0.200	0.056	0.072	10.146
0.200	0.056	0.078	10.369
0.200	0.056	0.083	10.591
0.200	0.056	0.089	10.813
0.200	0.056	0.094	11.035
0.200	0.056	0.100	11.257
0.200	0.061	0.050	9.412
0.200	0.061	0.056	9.634
0.200	0.061	0.061	9.856
0.200	0.061	0.067	10.078
0.200	0.061	0.072	10.301
0.200	0.061	0.078	10.523
0.200	0.061	0.083	10.745
0.200	0.061	0.089	10.967
0.200	0.061	0.094	11.190
0.200	0.061	0.100	11.412
0.200	0.067	0.050	9.566
0.200	0.067	0.056	9.788
0.200	0.067	0.061	10.011
0.200	0.067	0.067	10.233
0.200	0.067	0.072	10.455
0.200	0.067	0.078	10.677
0.200	0.067	0.083	10.899
0.200	0.067	0.089	11.122
0.200	0.067	0.094	11.344
0.200	0.067	0.100	11.566
0.200	0.072	0.050	9.720
0.200	0.072	0.056	9.943
0.200	0.072	0.061	10.165
0.200	0.072	0.067	10.387
0.200	0.072	0.072	10.609
0.200	0.072	0.078	10.832
0.200	0.072	0.083	11.054
0.200	0.072	0.089	11.276
0.200	0.072	0.094	11.498
0.200	0.072	0.100	11.720
0.200	0.078	0.050	9.875
0.200	0.078	0.056	10.097
0.200	0.078	0.061	10.319
0.200	0.078	0.067	10.541
0.200	0.078	0.072	10.764
0.200	0.078	0.078	10.986
0.200	0.078	0.083	11.208
0.200	0.078	0.089	11.430
0.200	0.078	0.094	11.653
0.200	0.078	0.100	11.875
0.200	0.083	0.050	10.029
0.200	0.083	0.056	10.251
0.200	0.083	0.061	10.474
0.200	0.083	0.067	10.696
0.200	0.083	0.072	10.918
0.200	0.083	0.078	11.140
0.200	0.083	0.083	11.362
0.200	0.083	0.089	11.585
0.200	0.083	0.094	11.807
0.200	0.083	0.100	12.029
0.200	0.089	0.050	10.183
0.200	0.089	0.056	10.406
0.200	0.089	0.061	10.628
0.200	0.089	0.067	10.850
0.200	0.089	0.072	11.072
0.200	0.089	0.078	11.295
0.200	0.089	0.083	11.517
0.200	0.089	0.089	11.739
0.200	0.089	0.094	11.961
0.200	0.089	0.100	12.183
0.200	0.094	0.050	10.338
0.200	0.094	0.056	10.560
0.200	0.094	0.061	10.782
0.200	0.094	0.067	11.004
0.200	0.094	0.072	11.227
0.200	0.094	0.078	11.449
0.200	0.094	0.083	11.671
0.200	0.094	0.089	11.893
0.200	0.094	0.094	12.116
0.200	0.094	0.100	12.338
0.200	0.100	0.050	10.492
0.200	0.100	0.056	10.714
0.200	0.100	0.061	10.937
0.200	0.100	0.067	11.159
0.200	0.100	0.072	11.381
0.200	0.100	0.078	11.603
0.200	0.100	0.083	11.825
0.200	0.100	0.089	12.048
0.200	0.100	0.094	12.270
0.200	0.100	0.100	12.492
