Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	Polyurethane (PUR)_thickness(m)	R(m²K/W)
0.067	0.100	0.078	7.794
0.067	0.100	0.083	8.016
0.067	0.100	0.089	8.238
0.067	0.100	0.094	8.460
0.067	0.100	0.100	8.683
0.083	0.050	0.050	5.770
0.083	0.050	0.056	5.992
0.083	0.050	0.061	6.214
0.083	0.050	0.067	6.437
0.083	0.050	0.072	6.659
0.083	0.050	0.078	6.881
0.083	0.050	0.083	7.103
0.083	0.050	0.089	7.325
0.083	0.050	0.094	7.548
0.083	0.050	0.100	7.770
0.083	0.056	0.050	5.924
0.083	0.056	0.056	6.146
0.083	0.056	0.061	6.369
0.083	0.056	0.067	6.591
0.083	0.056	0.072	6.813
0.083	0.056	0.078	7.035
0.083	0.056	0.083	7.257
0.083	0.056	0.089	7.480
0.083	0.056	0.094	7.702
0.083	0.056	0.100	7.924
0.083	0.061	0.050	6.078
0.083	0.061	0.056	6.301
0.083	0.061	0.061	6.523
0.083	0.061	0.067	6.745
0.083	0.061	0.072	6.967
0.083	0.061	0.078	7.190
0.083	0.061	0.083	7.412
0.083	0.061	0.089	7.634
0.083	0.061	0.094	7.856
0.083	0.061	0.100	8.078
0.083	0.067	0.050	6.233
0.083	0.067	0.056	6.455
0.083	0.067	0.061	6.677
0.083	0.067	0.067	6.899
0.083	0.067	0.072	7.122
0.083	0.067	0.078	7.344
0.083	0.067	0.083	7.566
0.083	0.067	0.089	7.788
0.083	0.067	0.094	8.011
0.083	0.067	0.100	8.233
0.083	0.072	0.050	6.387
0.083	0.072	0.056	6.609
0.083	0.072	0.061	6.832
0.083	0.072	0.067	7.054
0.083	0.072	0.072	7.276
0.083	0.072	0.078	7.498
0.083	0.072	0.083	7.720
0.083	0.072	0.089	7.943
0.083	0.072	0.094	8.165
0.083	0.072	0.100	8.387
0.083	0.078	0.050	6.541
0.083	0.078	0.056	6.764
0.083	0.078	0.061	6.986
0.083	0.078	0.067	7.208
0.083	0.078	0.072	7.430
0.083	0.078	0.078	7.653
0.083	0.078	0.083	7.875
0.083	0.078	0.089	8.097
0.083	0.078	0.094	8.319
0.083	0.078	0.100	8.541
0.083	0.083	0.050	6.696
0.083	0.083	0.056	6.918
0.083	0.083	0.061	7.140
0.083	0.083	0.067	7.362
0.083	0.083	0.072	7.585
0.083	0.083	0.078	7.807
0.083	0.083	0.083	8.029
0.083	0.083	0.089	8.251
0.083	0.083	0.094	8.474
0.083	0.083	0.100	8.696
0.083	0.089	0.050	6.850
0.083	0.089	0.056	7.072
0.083	0.089	0.061	7.295
0.083	0.089	0.067	7.517
0.083	0.089	0.072	7.739
0.083	0.089	0.078	7.961
0.083	0.089	0.083	8.183
0.083	0.089	0.089	8.406
0.083	0.089	0.094	8.628
0.083	0.089	0.100	8.850
0.083	0.094	0.050	7.004
0.083	0.094	0.056	7.227
0.083	0.094	0.061	7.449
0.083	0.094	0.067	7.671
0.083	0.094	0.072	7.893
0.083	0.094	0.078	8.116
0.083	0.094	0.083	8.338
0.083	0.094	0.089	8.560
0.083	0.094	0.094	8.782
0.083	0.094	0.100	9.004
0.083	0.100	0.050	7.159
0.083	0.100	0.056	7.381
0.083	0.100	0.061	7.603
0.083	0.100	0.067	7.825
0.083	0.100	0.072	8.048
0.083	0.100	0.078	8.270
0.083	0.100	0.083	8.492
0.083	0.100	0.089	8.714
0.083	0.100	0.094	8.937
0.083	0.100	0.100	9.159
0.100	0.050	0.050	6.246
0.100	0.050	0.056	6.468
0.100	0.050	0.061	6.690
0.100	0.050	0.067	6.913
0.100	0.050	0.072	7.135
0.100	0.050	0.078	7.357
0.100	0.050	0.083	7.579
0.100	0.050	0.089	7.802
0.100	0.050	0.094	8.024
0.100	0.050	0.100	8.246
0.100	0.056	0.050	6.400
0.100	0.056	0.056	6.623
0.100	0.056	0.061	6.845
0.100	0.056	0.067	7.067
0.100	0.056	0.072	7.289
0.100	0.056	0.078	7.511
0.100	0.056	0.083	7.734
0.100	0.056	0.089	7.956
0.100	0.056	0.094	8.178
0.100	0.056	0.100	8.400
0.100	0.061	0.050	6.555
0.100	0.061	0.056	6.777
0.100	0.061	0.061	6.999
0.100	0.061	0.067	7.221
0.100	0.061	0.072	7.444
0.100	0.061	0.078	7.666
0.100	0.061	0.083	7.888
0.100	0.061	0.089	8.110
0.100	0.061	0.094	8.332
0.100	0.061	0.100	8.555
0.100	0.067	0.050	6.709
0.100	0.067	0.056	6.931
0.100	0.067	0.061	7.153
0.100	0.067	0.067	7.376
0.100	0.067	0.072	7.598
0.100	0.067	0.078	7.820
0.100	0.067	0.083	8.042
0.100	0.067	0.089	8.265
0.100	0.067	0.094	8.487
0.100	0.067	0.100	8.709
0.100	0.072	0.050	6.863
0.100	0.072	0.056	7.086
0.100	0.072	0.061	7.308
0.100	0.072	0.067	7.530
0.100	0.072	0.072	7.752
0.100	0.072	0.078	7.974
0.100	0.072	0.083	8.197
0.100	0.072	0.089	8.419
0.100	0.072	0.094	8.641
0.100	0.072	0.100	8.863
0.100	0.078	0.050	7.018
0.100	0.078	0.056	7.240
0.100	0.078	0.061	7.462
0.100	0.078	0.067	7.684
0.100	0.078	0.072	7.907
0.100	0.078	0.078	8.129
0.100	0.078	0.083	8.351
0.100	0.078	0.089	8.573
0.100	0.078	0.094	8.795
0.100	0.078	0.100	9.018
0.100	0.083	0.050	7.172
0.100	0.083	0.056	7.394
0.100	0.083	0.061	7.616
0.100	0.083	0.067	7.839
0.100	0.083	0.072	8.061
0.100	0.083	0.078	8.283
0.100	0.083	0.083	8.505
0.100	0.083	0.089	8.728
0.100	0.083	0.094	8.950
0.100	0.083	0.100	9.172
0.100	0.089	0.050	7.326
0.100	0.089	0.056	7.549
0.100	0.089	0.061	7.771
0.100	0.089	0.067	7.993
0.100	0.089	0.072	8.215
0.100	0.089	0.078	8.437
0.100	0.089	0.083	8.660
0.100	0.089	0.089	8.882
0.100	0.089	0.094	9.104
0.100	0.089	0.100	9.326
0.100	0.094	0.050	7.481
0.100	0.094	0.056	7.703
0.100	0.094	0.061	7.925
0.100	0.094	0.067	8.147
0.100	0.094	0.072	8.369
0.100	0.094	0.078	8.592
0.100	0.094	0.083	8.814
0.100	0.094	0.089	9.036
0.100	0.094	0.094	9.258
0.100	0.094	0.100	9.481
0.100	0.100	0.050	7.635
0.100	0.100	0.056	7.857
0.100	0.100	0.061	8.079
0.100	0.100	0.067	8.302
0.100	0.100	0.072	8.524
0.100	0.100	0.078	8.746
0.100	0.100	0.083	8.968
0.100	0.100	0.089	9.190
0.100	0.100	0.094	9.413
0.100	0.100	0.100	9.635
0.117	0.050	0.050	6.722
0.117	0.050	0.056	6.944
0.117	0.050	0.061	7.167
0.117	0.050	0.067	7.389
0.117	0.050	0.072	7.611
0.117	0.050	0.078	7.833
0.117	0.050	0.083	8.056
0.117	0.050	0.089	8.278
0.117	0.050	0.094	8.500
0.117	0.050	0.100	8.722
0.117	0.056	0.050	6.877
0.117	0.056	0.056	7.099
0.117	0.056	0.061	7.321
0.117	0.056	0.067	7.543
0.117	0.056	0.072	7.765
0.117	0.056	0.078	7.988
0.117	0.056	0.083	8.210
0.117	0.056	0.089	8.432
0.117	0.056	0.094	8.654
0.117	0.056	0.100	8.877
0.117	0.061	0.050	7.031
0.117	0.061	0.056	7.253
0.117	0.061	0.061	7.475
0.117	0.061	0.067	7.698
0.117	0.061	0.072	7.920
0.117	0.061	0.078	8.142
0.117	0.061	0.083	8.364
0.117	0.061	0.089	8.586
0.117	0.061	0.094	8.809
0.117	0.061	0.100	9.031
0.117	0.067	0.050	7.185
0.117	0.067	0.056	7.407
0.117	0.067	0.061	7.630
0.117	0.067	0.067	7.852
0.117	0.067	0.072	8.074
0.117	0.067	0.078	8.296
0.117	0.067	0.083	8.519
0.117	0.067	0.089	8.741
0.117	0.067	0.094	8.963
0.117	0.067	0.100	9.185
0.117	0.072	0.050	7.340
0.117	0.072	0.056	7.562
0.117	0.072	0.061	7.784
0.117	0.072	0.067	8.006
0.117	0.072	0.072	8.228
0.117	0.072	0.078	8.451
0.117	0.072	0.083	8.673
0.117	0.072	0.089	8.895
0.117	0.072	0.094	9.117
0.117	0.072	0.100	9.340
0.117	0.078	0.050	7.494
0.117	0.078	0.056	7.716
0.117	0.078	0.061	7.938
0.117	0.078	0.067	8.160
0.117	0.078	0.072	8.383
0.117	0.078	0.078	8.605
0.117	0.078	0.083	8.827
0.117	0.078	0.089	9.049
0.117	0.078	0.094	9.272
0.117	0.078	0.100	9.494
0.117	0.083	0.050	7.648
0.117	0.083	0.056	7.870
0.117	0.083	0.061	8.093
0.117	0.083	0.067	8.315
0.117	0.083	0.072	8.537
0.117	0.083	0.078	8.759
0.117	0.083	0.083	8.981
0.117	0.083	0.089	9.204
0.117	0.083	0.094	9.426
0.117	0.083	0.100	9.648
0.117	0.089	0.050	7.802
0.117	0.089	0.056	8.025
0.117	0.089	0.061	8.247
0.117	0.089	0.067	8.469
0.117	0.089	0.072	8.691
0.117	0.089	0.078	8.914
0.117	0.089	0.083	9.136
0.117	0.089	0.089	9.358
0.117	0.089	0.094	9.580
0.117	0.089	0.100	9.802
0.117	0.094	0.050	7.957
0.117	0.094	0.056	8.179
0.117	0.094	0.061	8.401
0.117	0.094	0.067	8.623
0.117	0.094	0.072	8.846
0.117	0.094	0.078	9.068
0.117	0.094	0.083	9.290
0.117	0.094	0.089	9.512
0.117	0.094	0.094	9.735
0.117	0.094	0.100	9.957
0.117	0.100	0.050	8.111
0.117	0.100	0.056	8.333
0.117	0.100	0.061	8.556
0.117	0.100	0.067	8.778
0.117	0.100	0.072	9.000
0.117	0.100	0.078	9.222
0.117	0.100	0.083	9.444
0.117	0.100	0.089	9.667
0.117	0.100	0.094	9.889
0.117	0.100	0.100	10.111
0.133	0.050	0.050	7.198
0.133	0.050	0.056	7.421
0.133	0.050	0.061	7.643
0.133	0.050	0.067	7.865
0.133	0.050	0.072	8.087
0.133	0.050	0.078	8.310
0.133	0.050	0.083	8.532
0.133	0.050	0.089	8.754
0.133	0.050	0.094	8.976
0.133	0.050	0.100	9.198
0.133	0.056	0.050	7.353
0.133	0.056	0.056	7.575
0.133	0.056	0.061	7.797
0.133	0.056	0.067	8.019
0.133	0.056	0.072	8.242
0.133	0.056	0.078	8.464
0.133	0.056	0.083	8.686
0.133	0.056	0.089	8.908
0.133	0.056	0.094	9.131
0.133	0.056	0.100	9.353
0.133	0.061	0.050	7.507
0.133	0.061	0.056	7.729
0.133	0.061	0.061	7.951
0.133	0.061	0.067	8.174
0.133	0.061	0.072	8.396
0.133	0.061	0.078	8.618
0.133	0.061	0.083	8.840
0.133	0.061	0.089	9.063
0.133	0.061	0.094	9.285
0.133	0.061	0.100	9.507
0.133	0.067	0.050	7.661
0.133	0.067	0.056	7.884
0.133	0.067	0.061	8.106
0.133	0.067	0.067	8.328
0.133	0.067	0.072	8.550
0.133	0.067	0.078	8.772
0.133	0.067	0.083	8.995
0.133	0.067	0.089	9.217
0.133	0.067	0.094	9.439
0.133	0.067	0.100	9.661
0.133	0.072	0.050	7.816
0.133	0.072	0.056	8.038
0.133	0.072	0.061	8.260
0.133	0.072	0.067	8.482
0.133	0.072	0.072	8.705
0.133	0.072	0.078	8.927
0.133	0.072	0.083	9.149
0.133	0.072	0.089	9.371
0.133	0.072	0.094	9.593
0.133	0.072	0.100	9.816
0.133	0.078	0.050	7.970
0.133	0.078	0.056	8.192
0.133	0.078	0.061	8.414
0.133	0.078	0.067	8.637
0.133	0.078	0.072	8.859
0.133	0.078	0.078	9.081
0.133	0.078	0.083	9.303
0.133	0.078	0.089	9.526
0.133	0.078	0.094	9.748
0.133	0.078	0.100	9.970
0.133	0.083	0.050	8.124
0.133	0.083	0.056	8.347
0.133	0.083	0.061	8.569
0.133	0.083	0.067	8.791
0.133	0.083	0.072	9.013
0.133	0.083	0.078	9.235
0.133	0.083	0.083	9.458
0.133	0.083	0.089	9.680
0.133	0.083	0.094	9.902
0.133	0.083	0.100	10.124
0.133	0.089	0.050	8.279
0.133	0.089	0.056	8.501
0.133	0.089	0.061	8.723
0.133	0.089	0.067	8.945
0.133	0.089	0.072	9.168
0.133	0.089	0.078	9.390
0.133	0.089	0.083	9.612
0.133	0.089	0.089	9.834
0.133	0.089	0.094	10.056
0.133	0.089	0.100	10.279
0.133	0.094	0.050	8.433
0.133	0.094	0.056	8.655
0.133	0.094	0.061	8.877
0.133	0.094	0.067	9.100
0.133	0.094	0.072	9.322
0.133	0.094	0.078	9.544
0.133	0.094	0.083	9.766
0.133	0.094	0.089	9.989
0.133	0.094	0.094	10.211
0.133	0.094	0.100	10.433
0.133	0.100	0.050	8.587
0.133	0.100	0.056	8.810
0.133	0.100	0.061	9.032
0.133	0.100	0.067	9.254
0.133	0.100	0.072	9.476
0.133	0.100	0.078	9.698
0.133	0.100	0.083	9.921
0.133	0.100	0.089	10.143
0.133	0.100	0.094	10.365
0.133	0.100	0.100	10.587
0.150	0.050	0.050	7.675
0.150	0.050	0.056	7.897
0.150	0.050	0.061	8.119
0.150	0.050	0.067	8.341
0.150	0.050	0.072	8.563
0.150	0.050	0.078	8.786
0.150	0.050	0.083	9.008
0.150	0.050	0.089	9.230
0.150	0.050	0.094	9.452
0.150	0.050	0.100	9.675
0.150	0.056	0.050	7.829
0.150	0.056	0.056	8.051
0.150	0.056	0.061	8.273
0.150	0.056	0.067	8.496
0.150	0.056	0.072	8.718
0.150	0.056	0.078	8.940
0.150	0.056	0.083	9.162
0.150	0.056	0.089	9.384
0.150	0.056	0.094	9.607
0.150	0.056	0.100	9.829
0.150	0.061	0.050	7.983
0.150	0.061	0.056	8.205
0.150	0.061	0.061	8.428
0.150	0.061	0.067	8.650
0.150	0.061	0.072	8.872
0.150	0.061	0.078	9.094
0.150	0.061	0.083	9.317
0.150	0.061	0.089	9.539
0.150	0.061	0.094	9.761
0.150	0.061	0.100	9.983
0.150	0.067	0.050	8.138
0.150	0.067	0.056	8.360
0.150	0.067	0.061	8.582
0.150	0.067	0.067	8.804
0.150	0.067	0.072	9.026
0.150	0.067	0.078	9.249
0.150	0.067	0.083	9.471
0.150	0.067	0.089	9.693
0.150	0.067	0.094	9.915
0.150	0.067	0.100	10.138
0.150	0.072	0.050	8.292
0.150	0.072	0.056	8.514
0.150	0.072	0.061	8.736
0.150	0.072	0.067	8.959
0.150	0.072	0.072	9.181
0.150	0.072	0.078	9.403
0.150	0.072	0.083	9.625
0.150	0.072	0.089	9.847
0.150	0.072	0.094	10.070
0.150	0.072	0.100	10.292
0.150	0.078	0.050	8.446
0.150	0.078	0.056	8.668
0.150	0.078	0.061	8.891
0.150	0.078	0.067	9.113
0.150	0.078	0.072	9.335
0.150	0.078	0.078	9.557
0.150	0.078	0.083	9.780
0.150	0.078	0.089	10.002
0.150	0.078	0.094	10.224
0.150	0.078	0.100	10.446
0.150	0.083	0.050	8.601
0.150	0.083	0.056	8.823
0.150	0.083	0.061	9.045
0.150	0.083	0.067	9.267
0.150	0.083	0.072	9.489
0.150	0.083	0.078	9.712
0.150	0.083	0.083	9.934
0.150	0.083	0.089	10.156
0.150	0.083	0.094	10.378
0.150	0.083	0.100	10.601
0.150	0.089	0.050	8.755
0.150	0.089	0.056	8.977
0.150	0.089	0.061	9.199
0.150	0.089	0.067	9.422
0.150	0.089	0.072	9.644
0.150	0.089	0.078	9.866
0.150	0.089	0.083	10.088
0.150	0.089	0.089	10.310
0.150	0.089	0.094	10.533
0.150	0.089	0.100	10.755
0.150	0.094	0.050	8.909
0.150	0.094	0.056	9.131
0.150	0.094	0.061	9.354
0.150	0.094	0.067	9.576
0.150	0.094	0.072	9.798
0.150	0.094	0.078	10.020
0.150	0.094	0.083	10.243
0.150	0.094	0.089	10.465
0.150	0.094	0.094	10.687
0.150	0.094	0.100	10.909
0.150	0.100	0.050	9.063
0.150	0.100	0.056	9.286
0.150	0.100	0.061	9.508
0.150	0.100	0.067	9.730
0.150	0.100	0.072	9.952
0.150	0.100	0.078	10.175
0.150	0.100	0.083	10.397
0.150	0.100	0.089	10.619
0.150	0.100	0.094	10.841
0.150	0.100	0.100	11.063
0.167	0.050	0.050	8.151
0.167	0.050	0.056	8.373
0.167	0.050	0.061	8.595
0.167	0.050	0.067	8.817
0.167	0.050	0.072	9.040
0.167	0.050	0.078	9.262
0.167	0.050	0.083	9.484
0.167	0.050	0.089	9.706
0.167	0.050	0.094	9.929
0.167	0.050	0.100	10.151
0.167	0.056	0.050	8.305
0.167	0.056	0.056	8.527
0.167	0.056	0.061	8.750
0.167	0.056	0.067	8.972
0.167	0.056	0.072	9.194
0.167	0.056	0.078	9.416
0.167	0.056	0.083	9.638
0.167	0.056	0.089	9.861
0.167	0.056	0.094	10.083
0.167	0.056	0.100	10.305
0.167	0.061	0.050	8.459
0.167	0.061	0.056	8.682
0.167	0.061	0.061	8.904
0.167	0.061	0.067	9.126
0.167	0.061	0.072	9.348
