Expanded Polystyrene (EPS)_thickness(m),mineral_wool_thickness(m),Polyurethane (PUR)_thickness(m),R(m²K/W),Total_Cost
0.067,0.067,0.083,7.09,1650.4800000000002
0.067,0.067,0.089,7.312,1720.6800000000003
0.067,0.067,0.094,7.534,1779.1800000000003
0.067,0.067,0.1,7.757,1849.38
0.067,0.072,0.05,5.911,1287.7799999999997
0.067,0.072,0.056,6.133,1357.98
0.067,0.072,0.061,6.355,1416.48
0.067,0.072,0.067,6.578,1486.6800000000003
0.067,0.072,0.072,6.8,1545.1799999999998
0.067,0.072,0.078,7.022,1615.38
0.067,0.072,0.083,7.244,1673.88
0.067,0.072,0.089,7.466,1744.08
0.067,0.072,0.094,7.689,1802.58
0.067,0.072,0.1,7.911,1872.7799999999997
0.067,0.078,0.05,6.065,1315.8600000000001
0.067,0.078,0.056,6.287,1386.0600000000002
0.067,0.078,0.061,6.51,1444.5600000000002
0.067,0.078,0.067,6.732,1514.7600000000002
0.067,0.078,0.072,6.954,1573.2600000000002
0.067,0.078,0.078,7.176,1643.46
0.067,0.078,0.083,7.399,1701.96
0.067,0.078,0.089,7.621,1772.1599999999999
0.067,0.078,0.094,7.843,1830.6599999999999
0.067,0.078,0.1,8.065,1900.8600000000001
0.067,0.083,0.05,6.22,1339.2600000000002
0.067,0.083,0.056,6.442,1409.46
0.067,0.083,0.061,6.664,1467.96
0.067,0.083,0.067,6.886,1538.16
0.067,0.083,0.072,7.108,1596.6599999999999
0.067,0.083,0.078,7.331,1666.8600000000001
0.067,0.083,0.083,7.553,1725.3600000000004
0.067,0.083,0.089,7.775,1795.5600000000002
0.067,0.083,0.094,7.997,1854.0600000000002
0.067,0.083,0.1,8.22,1924.2600000000002
0.067,0.089,0.05,6.374,1367.3400000000001
0.067,0.089,0.056,6.596,1437.54
0.067,0.089,0.061,6.818,1496.04
0.067,0.089,0.067,7.041,1566.2400000000002
0.067,0.089,0.072,7.263,1624.7399999999998
0.067,0.089,0.078,7.485,1694.94
0.067,0.089,0.083,7.707,1753.4400000000003
0.067,0.089,0.089,7.929,1823.64
0.067,0.089,0.094,8.152,1882.14
0.067,0.089,0.1,8.374,1952.3400000000001
0.067,0.094,0.05,6.528,1390.7399999999998
0.067,0.094,0.056,6.75,1460.94
0.067,0.094,0.061,6.973,1519.44
0.067,0.094,0.067,7.195,1589.64
0.067,0.094,0.072,7.417,1648.1399999999999
0.067,0.094,0.078,7.639,1718.3400000000001
0.067,0.094,0.083,7.862,1776.8400000000001
0.067,0.094,0.089,8.084,1847.04
0.067,0.094,0.094,8.306,1905.54
0.067,0.094,0.1,8.528,1975.7399999999998
0.067,0.1,0.05,6.683,1418.8200000000002
0.067,0.1,0.056,6.905,1489.0200000000002
0.067,0.1,0.061,7.127,1547.5200000000002
0.067,0.1,0.067,7.349,1617.7200000000003
0.067,0.1,0.072,7.571,1676.2200000000003
0.067,0.1,0.078,7.794,1746.42
0.067,0.1,0.083,8.016,1804.92
0.067,0.1,0.089,8.238,1875.12
0.067,0.1,0.094,8.46,1933.62
0.067,0.1,0.1,8.683,2003.8200000000002
0.083,0.05,0.05,5.77,1272.1800000000003
0.083,0.05,0.056,5.992,1342.38
0.083,0.05,0.061,6.214,1400.88
0.083,0.05,0.067,6.437,1471.08
0.083,0.05,0.072,6.659,1529.58
0.083,0.05,0.078,6.881,1599.7799999999997
0.083,0.05,0.083,7.103,1658.2800000000002
0.083,0.05,0.089,7.325,1728.48
0.083,0.05,0.094,7.548,1786.98
0.083,0.05,0.1,7.77,1857.1800000000003
0.083,0.056,0.05,5.924,1300.2600000000002
0.083,0.056,0.056,6.146,1370.46
0.083,0.056,0.061,6.369,1428.96
0.083,0.056,0.067,6.591,1499.1599999999999
0.083,0.056,0.072,6.813,1557.6599999999999
0.083,0.056,0.078,7.035,1627.86
0.083,0.056,0.083,7.257,1686.3600000000001
0.083,0.056,0.089,7.48,1756.56
0.083,0.056,0.094,7.702,1815.06
0.083,0.056,0.1,7.924,1885.2600000000002
0.083,0.061,0.05,6.078,1323.6599999999999
