Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	Polyurethane (PUR)_thickness(m)	R(m²K/W)
0.260	0.000	0.140	13.029
0.260	0.020	0.120	12.784
0.260	0.040	0.100	12.540
0.260	0.060	0.080	12.295
0.260	0.080	0.060	12.051
0.260	0.100	0.040	11.806
0.260	0.120	0.020	11.562
0.260	0.140	0.000	11.317
0.280	0.000	0.120	12.800
0.280	0.020	0.100	12.556
0.280	0.040	0.080	12.311
0.280	0.060	0.060	12.067
0.280	0.080	0.040	11.822
0.280	0.100	0.020	11.578
0.280	0.120	0.000	11.333
0.300	0.000	0.100	12.571
0.300	0.020	0.080	12.327
0.300	0.040	0.060	12.083
0.300	0.060	0.040	11.838
0.300	0.080	0.020	11.594
0.300	0.100	0.000	11.349
0.320	0.000	0.080	12.343
0.320	0.020	0.060	12.098
0.320	0.040	0.040	11.854
0.320	0.060	0.020	11.610
0.320	0.080	0.000	11.365
0.340	0.000	0.060	12.114
0.340	0.020	0.040	11.870
0.340	0.040	0.020	11.625
0.340	0.060	0.000	11.381
0.360	0.000	0.040	11.886
0.360	0.020	0.020	11.641
0.360	0.040	0.000	11.397
0.380	0.000	0.020	11.657
0.380	0.020	0.000	11.413
0.400	0.000	0.000	11.429
